time,wave_height,wave_period,wave_direction,swell_wave_height,swell_wave_period,wind_wave_height,sea_surface_temperature,zone_id,zone_name,wind_speed_10m,wind_direction_10m,wind_gusts_10m,weather_code,precipitation,month,hour,wave_height_t0,wave_period_t0,swell_wave_height_t0,swell_wave_period_t0,wind_wave_height_t0,wind_speed_t0,wind_gusts_t0,sea_surface_temperature_t0,weather_code_t0,wave_height_t-3h,wave_height_t-6h,wind_speed_t-3h,wind_speed_t-6h,wave_delta_3h,wave_delta_6h,wind_delta_3h,swell_trend,wave_wind_ratio,swell_steepness,wave_energy,monsoon_flag,safety_6h,safety_12h,safety_24h
2026-04-07 06:00:00,0.64,11.7,145,0.62,9.55,0.0,30.2,0,Bay of Bengal,4.2,250,7.9,3,0.0,4,6,0.64,11.7,0.62,9.55,0.0,4.2,7.9,30.2,3,0.62,0.6,8.2,10.6,0.020000000000000018,0.040000000000000036,-3.999999999999999,0.0,0.15238095238095237,0.06492146596858638,0.4096,0,1,1,1
2026-04-07 07:00:00,0.66,11.7,144,0.6,9.0,0.0,30.3,0,Bay of Bengal,3.1,260,7.6,3,0.0,4,7,0.66,11.7,0.6,9.0,0.0,3.1,7.6,30.3,3,0.64,0.62,10.0,8.9,0.020000000000000018,0.040000000000000036,-6.9,-0.040000000000000036,0.21290322580645163,0.06666666666666667,0.43560000000000004,0,1,1,1
2026-04-07 08:00:00,0.66,11.65,144,0.58,8.65,0.0,30.4,0,Bay of Bengal,4.4,291,7.6,3,0.0,4,8,0.66,11.65,0.58,8.65,0.0,4.4,7.6,30.4,3,0.64,0.62,3.8,6.7,0.020000000000000018,0.040000000000000036,0.6000000000000005,-0.06000000000000005,0.15,0.06705202312138728,0.43560000000000004,0,1,1,1
2026-04-07 09:00:00,0.66,11.6,144,0.58,8.5,0.0,30.6,0,Bay of Bengal,6.7,297,10.8,3,0.0,4,9,0.66,11.6,0.58,8.5,0.0,6.7,10.8,30.6,3,0.64,0.62,4.2,8.2,0.020000000000000018,0.040000000000000036,2.5,-0.040000000000000036,0.09850746268656717,0.06823529411764706,0.43560000000000004,0,1,1,1
2026-04-07 10:00:00,0.66,11.55,144,0.58,8.5,0.0,30.7,0,Bay of Bengal,1.6,264,10.8,3,0.0,4,10,0.66,11.55,0.58,8.5,0.0,1.6,10.8,30.7,3,0.66,0.64,3.1,10.0,0.0,0.020000000000000018,-1.5,-0.020000000000000018,0.4125,0.06823529411764706,0.43560000000000004,0,1,1,0
2026-04-07 11:00:00,0.66,11.5,144,0.58,8.55,0.0,30.8,0,Bay of Bengal,1.4,320,5.4,3,0.0,4,11,0.66,11.5,0.58,8.55,0.0,1.4,5.4,30.8,3,0.66,0.64,4.4,3.8,0.0,0.020000000000000018,-3.0000000000000004,0.0,0.4714285714285715,0.06783625730994151,0.43560000000000004,0,1,1,0
2026-04-07 12:00:00,0.66,11.45,144,0.6,8.6,0.0,30.8,0,Bay of Bengal,3.6,60,6.5,3,0.0,4,12,0.66,11.45,0.6,8.6,0.0,3.6,6.5,30.8,3,0.66,0.64,6.7,4.2,0.0,0.020000000000000018,-3.1,0.020000000000000018,0.18333333333333335,0.06976744186046512,0.43560000000000004,0,1,1,0
2026-04-07 13:00:00,0.66,11.35,144,0.6,8.7,0.0,30.9,0,Bay of Bengal,5.6,59,9.4,3,0.0,4,13,0.66,11.35,0.6,8.7,0.0,5.6,9.4,30.9,3,0.66,0.66,1.6,3.1,0.0,0.0,3.9999999999999996,0.020000000000000018,0.11785714285714287,0.06896551724137931,0.43560000000000004,0,1,1,0
2026-04-07 14:00:00,0.66,11.3,144,0.62,8.85,0.0,30.9,0,Bay of Bengal,9.4,60,13.0,3,0.0,4,14,0.66,11.3,0.62,8.85,0.0,9.4,13.0,30.9,3,0.66,0.66,1.4,4.4,0.0,0.0,8.0,0.040000000000000036,0.07021276595744681,0.07005649717514124,0.43560000000000004,0,1,1,0
2026-04-07 15:00:00,0.66,11.3,144,0.62,9.15,0.02,30.9,0,Bay of Bengal,15.3,62,20.2,3,0.0,4,15,0.66,11.3,0.62,9.15,0.02,15.3,20.2,30.9,3,0.66,0.66,3.6,6.7,0.0,0.0,11.700000000000001,0.020000000000000018,0.043137254901960784,0.06775956284153005,0.43560000000000004,0,1,1,0
