date,zone_id,zone_name,wave_height,wave_period,wind_wave_height,swell_wave_height,swell_wave_period,wind_speed_10m,wind_gusts_10m,weather_code,month,wave_wind_ratio,swell_steepness,safety_class,safety_label
2026-03-27,0,Bay of Bengal (East),0.22,5.03125,0.04,0.2,3.247916666666667,15.1,33.5,3,3,0.01456953642384106,0.061577934573444515,0,SAFE
2026-03-27,1,Indian Ocean (South),1.16,10.197916666666666,0.06,1.1,9.266666666666667,23.7,38.9,51,3,0.04894514767932489,0.11870503597122302,1,CAUTION
2026-03-27,2,Gulf of Mannar (West),0.4,8.481250000000001,0.22,0.3,8.356250000000001,21.3,45.0,2,3,0.018779342723004695,0.035901271503365736,1,CAUTION
2026-03-27,3,Palk Strait (North),0.08,3.8833333333333333,0.06,0.06,5.552083333333333,14.8,30.6,3,3,0.005405405405405405,0.010806754221388368,0,SAFE
2026-03-27,4,Lakshadweep Sea (SW),0.92,10.491666666666667,0.14,0.88,8.758333333333333,15.0,39.6,3,3,0.06133333333333334,0.10047573739295909,0,SAFE
2026-03-28,0,Bay of Bengal (East),0.22,5.339583333333334,0.08,0.16,3.904166666666667,15.5,33.1,3,3,0.014193548387096775,0.040981856990394874,0,SAFE
2026-03-28,1,Indian Ocean (South),1.14,9.902083333333334,0.3,1.08,8.704166666666667,29.4,39.2,51,3,0.03877551020408163,0.1240785064624222,1,CAUTION
2026-03-28,2,Gulf of Mannar (West),0.58,6.954166666666667,0.24,0.48,7.285416666666666,16.2,35.6,51,3,0.03580246913580247,0.06588504432370604,0,SAFE
2026-03-28,3,Palk Strait (North),0.2,3.579166666666667,0.02,0.18,6.33125,9.7,25.6,3,3,0.02061855670103093,0.028430404738400788,0,SAFE
2026-03-28,4,Lakshadweep Sea (SW),0.96,9.533333333333333,0.32,0.9,8.581249999999999,15.0,42.5,53,3,0.064,0.10487982520029135,0,SAFE
2026-03-29,0,Bay of Bengal (East),0.22,5.266666666666667,0.1,0.18,5.291666666666667,16.4,36.0,3,3,0.013414634146341465,0.03401574803149606,0,SAFE
2026-03-29,1,Indian Ocean (South),1.1,10.004166666666666,0.22,1.0,8.635416666666666,21.6,28.4,63,3,0.05092592592592593,0.11580217129071171,1,CAUTION
2026-03-29,2,Gulf of Mannar (West),0.6,5.920833333333333,0.1,0.52,4.333333333333333,14.4,33.8,3,3,0.041666666666666664,0.12000000000000001,0,SAFE
2026-03-29,3,Palk Strait (North),0.2,3.2937499999999997,0.08,0.18,2.527083333333333,12.4,27.4,51,3,0.016129032258064516,0.07122835943940643,0,SAFE
2026-03-29,4,Lakshadweep Sea (SW),0.9,8.927083333333334,0.14,0.78,7.89375,13.0,36.4,53,3,0.06923076923076923,0.098812351543943,0,SAFE
2026-03-30,0,Bay of Bengal (East),0.2,5.229166666666667,0.1,0.16,4.08125,15.5,33.8,3,3,0.012903225806451613,0.03920367534456356,0,SAFE
2026-03-30,1,Indian Ocean (South),0.98,10.585416666666667,0.04,0.92,8.2375,18.2,24.5,51,3,0.05384615384615385,0.11168437025796661,0,SAFE
2026-03-30,2,Gulf of Mannar (West),0.3,7.1375,0.08,0.22,7.627083333333334,16.7,39.2,51,3,0.017964071856287425,0.028844577984157332,0,SAFE
2026-03-30,3,Palk Strait (North),0.16,2.9479166666666665,0.06,0.12,2.3291666666666666,14.2,29.2,3,3,0.011267605633802818,0.051520572450805005,0,SAFE
2026-03-30,4,Lakshadweep Sea (SW),0.74,10.360416666666667,0.1,0.6,8.208333333333334,13.3,36.7,51,3,0.0556390977443609,0.0730964467005076,0,SAFE
2026-03-31,0,Bay of Bengal (East),0.22,5.722916666666666,0.08,0.18,5.533333333333334,14.4,32.8,3,3,0.015277777777777777,0.0325301204819277,0,SAFE
2026-03-31,1,Indian Ocean (South),1.16,11.645833333333334,0.32,0.88,8.5375,23.3,34.2,53,3,0.04978540772532188,0.10307467057101026,1,CAUTION
2026-03-31,2,Gulf of Mannar (West),0.42,8.28125,0.24,0.3,10.295833333333333,18.8,39.6,1,3,0.02234042553191489,0.029138000809388914,0,SAFE
2026-03-31,3,Palk Strait (North),0.26,2.472916666666667,0.26,0.12,2.3979166666666667,17.0,34.2,0,3,0.015294117647058824,0.05004344048653345,0,SAFE
2026-03-31,4,Lakshadweep Sea (SW),0.86,12.566666666666668,0.12,0.84,12.125,14.9,42.1,61,3,0.05771812080536912,0.06927835051546391,0,SAFE
2026-04-01,0,Bay of Bengal (East),0.22,5.377083333333334,0.1,0.18,4.677083333333333,16.3,36.0,3,4,0.013496932515337423,0.03848552338530067,0,SAFE
2026-04-01,1,Indian Ocean (South),1.34,10.7875,0.36,0.94,9.085416666666667,26.8,34.9,61,4,0.05,0.10346250859894518,1,CAUTION
2026-04-01,2,Gulf of Mannar (West),0.42,9.029166666666667,0.26,0.32,9.456249999999999,20.3,43.6,3,4,0.020689655172413793,0.03384005287508262,1,CAUTION
2026-04-01,3,Palk Strait (North),0.22,2.733333333333333,0.2,0.12,3.2687500000000003,18.3,37.4,3,4,0.012021857923497267,0.03671128107074569,0,SAFE
2026-04-01,4,Lakshadweep Sea (SW),0.98,11.785416666666668,0.14,0.92,10.160416666666666,14.7,38.5,51,4,0.06666666666666667,0.0905474677055567,0,SAFE
2026-04-02,0,Bay of Bengal (East),0.22,5.3687499999999995,0.0,0.18,3.24375,14.9,33.8,63,4,0.01476510067114094,0.055491329479768786,0,SAFE
2026-04-02,1,Indian Ocean (South),1.26,10.535416666666666,0.22,1.12,8.827083333333333,20.0,29.2,61,4,0.063,0.12688222799150345,1,CAUTION
2026-04-02,2,Gulf of Mannar (West),0.38,9.283333333333333,0.14,0.36,8.752083333333333,14.4,35.3,55,4,0.02638888888888889,0.04113306355629612,0,SAFE
2026-04-02,3,Palk Strait (North),0.12,4.25,0.04,0.06,4.504166666666666,12.8,28.1,53,4,0.009375,0.01332099907493062,0,SAFE
2026-04-02,4,Lakshadweep Sea (SW),0.94,10.827083333333334,0.1,0.9,9.0625,11.4,34.9,63,4,0.08245614035087719,0.0993103448275862,0,SAFE
2026-04-03,0,Bay of Bengal (East),0.18,6.4624999999999995,0.0,0.14,5.175,11.6,24.5,63,4,0.015517241379310345,0.027053140096618362,0,SAFE
2026-04-03,1,Indian Ocean (South),1.04,11.49375,0.0,1.02,9.71875,24.9,33.8,63,4,0.04176706827309237,0.10495176848874599,1,CAUTION
2026-04-03,2,Gulf of Mannar (West),0.36,8.90625,0.14,0.32,7.547916666666667,13.3,31.7,55,4,0.027067669172932327,0.04239580458183825,0,SAFE
2026-04-03,3,Palk Strait (North),0.18,3.233333333333333,0.04,0.14,2.4166666666666665,11.2,24.8,63,4,0.016071428571428573,0.05793103448275863,0,SAFE
2026-04-03,4,Lakshadweep Sea (SW),0.78,11.75625,0.04,0.7,9.55625,13.7,38.2,55,4,0.05693430656934307,0.07325049051667756,0,SAFE
2026-04-04,0,Bay of Bengal (East),0.14,6.8687499999999995,0.0,0.1,6.210416666666667,13.0,28.4,63,4,0.01076923076923077,0.016101979201610196,0,SAFE
2026-04-04,1,Indian Ocean (South),1.08,11.791666666666666,0.14,1.06,9.727083333333333,21.6,28.8,51,4,0.05,0.10897408438637825,1,CAUTION
2026-04-04,2,Gulf of Mannar (West),0.72,6.989583333333333,0.5,0.42,7.33125,17.4,37.4,51,4,0.041379310344827586,0.05728900255754476,0,SAFE
2026-04-04,3,Palk Strait (North),0.36,2.7104166666666667,0.26,0.26,2.464583333333333,15.1,32.4,53,4,0.023841059602649005,0.10549450549450551,0,SAFE
2026-04-04,4,Lakshadweep Sea (SW),0.82,12.020833333333334,0.1,0.78,10.0375,12.5,36.0,3,4,0.06559999999999999,0.07770859277708593,0,SAFE
2026-04-05,0,Bay of Bengal (East),0.14,7.608333333333333,0.02,0.12,6.325,13.8,30.2,3,4,0.010144927536231885,0.018972332015810275,0,SAFE
2026-04-05,1,Indian Ocean (South),1.2,10.479166666666666,0.58,1.12,9.808333333333334,30.6,40.0,53,4,0.0392156862745098,0.11418861512319457,1,CAUTION
2026-04-05,2,Gulf of Mannar (West),0.88,4.870833333333334,0.7,0.56,4.229166666666667,20.3,41.8,3,4,0.04334975369458128,0.13241379310344828,1,CAUTION
2026-04-05,3,Palk Strait (North),0.38,3.060416666666667,0.3,0.36,2.814583333333333,18.0,34.6,63,4,0.021111111111111112,0.12790525536639527,0,SAFE
2026-04-05,4,Lakshadweep Sea (SW),1.16,9.685416666666667,0.44,0.88,9.914583333333333,16.3,44.3,51,4,0.07116564417177913,0.08875814246690482,1,CAUTION
